userIndex,foodIndex,eventStrength
1,1,1
2,19,1
2,39,1
3,19,1
3,39,1
4,9,1
5,42,1
6,44,1
7,40,1
8,1,1
9,27,1
10,38,1
11,38,1
12,38,1
13,1,1
13,14,1
14,38,1
15,43,1
16,1,1
17,2,1
17,3,1
17,71,1
18,37,1
18,66,1
18,74,1
19,40,1
20,42,1
21,36,1
23,14,1
24,2,1
24,3,1
24,71,1
25,40,1
26,38,1
27,14,1
28,29,1
29,37,1
30,36,1
31,22,1
32,1,1
32,14,1
33,40,1
34,40,1
35,14,1
36,43,1
37,36,1
38,2,1
38,3,1
38,71,1
39,40,1
40,1,1
40,14,1
41,9,1
42,2,1
42,3,1
42,71,1
43,44,1
44,19,1
45,12,1
46,2,1
46,3,1
46,71,1
47,1,1
48,40,1
49,1,1
50,38,1
51,38,1
52,42,1
53,38,1
54,38,1
55,9,1
56,1,1
57,40,1
59,40,1
60,30,1
61,42,1
62,36,1
63,41,1
64,43,1
65,43,1
66,48,1
66,2,1
66,3,1
66,1,1
66,71,1
66,14,1
66,49,1
66,55,1
66,75,1
67,16,1
68,22,1
68,38,1
68,52,1
68,53,1
68,33,1
68,24,1
68,11,1
68,30,1
68,31,1
68,12,1
69,19,1
70,40,1
71,42,1
72,33,1
73,35,1
74,36,1
75,38,1
76,38,1
76,1,1
77,36,1
77,38,1
78,33,1
79,38,1
80,41,1
81,1,1
82,37,1
83,38,1
84,3,1
85,40,1
86,42,1
87,37,1
87,66,1
87,74,1
88,44,1
89,35,1
90,38,1
90,1,1
91,43,1
92,43,1
93,20,1
94,42,1
95,40,1
96,20,1
97,48,1
97,36,1
97,2,1
97,5,1
97,3,1
97,1,1
97,14,1
97,49,1
97,40,1
98,33,1
99,43,1
100,24,1
101,1,1
102,44,1
103,29,1
104,30,1
105,8,1
106,20,1
107,23,1
108,31,1
109,40,1
110,42,1
111,22,1
112,35,1
113,29,1
114,38,1
114,1,1
115,48,1
115,36,1
115,2,1
115,5,1
115,3,1
115,1,1
115,14,1
115,49,1
115,40,1
116,1,1
117,19,1
118,36,1
119,9,1
120,40,1
121,54,1
122,38,1
123,44,1
124,41,1
124,43,1
124,40,1
124,70,1
125,2,1
125,3,1
125,71,1
126,1,1
127,40,1
128,1,1
129,18,1
130,1,1
130,14,1
131,1,1
132,27,1
133,38,1
134,48,1
134,2,1
134,3,1
134,1,1
134,71,1
134,14,1
134,49,1
134,55,1
134,75,1
135,43,1
136,42,1
137,36,1
138,38,1
139,22,1
139,38,1
139,52,1
139,53,1
139,33,1
139,24,1
139,11,1
139,30,1
139,31,1
139,12,1
140,38,1
140,1,1
141,37,1
142,36,1
143,38,1
144,43,1
145,19,1
145,18,1
146,42,1
147,22,1
147,38,1
147,52,1
147,53,1
147,33,1
147,24,1
147,11,1
147,30,1
147,31,1
147,12,1
148,43,1
149,24,1
150,38,1
151,2,1
152,33,1
153,38,1
154,42,1
155,22,1
156,44,1
157,24,1
158,38,1
158,1,1
159,3,1
160,42,1
161,2,1
161,3,1
161,71,1
162,33,1
163,1,1
163,14,1
164,67,1
165,38,1
166,19,1
166,1,1
166,39,1
167,38,1
168,20,1
169,38,1
170,48,1
170,36,1
170,2,1
170,5,1
170,3,1
170,1,1
170,14,1
170,49,1
170,40,1
171,36,1
172,38,1
173,37,1
174,40,1
175,42,1
176,19,1
177,53,1
178,43,1
179,38,1
179,1,1
180,1,1
181,54,1
181,49,1
181,55,1
182,54,1
182,49,1
182,55,1
183,36,1
184,20,1
185,32,1
186,40,1
187,1,1
188,40,1
189,36,1
190,43,1
191,40,1
192,36,1
193,48,1
193,2,1
193,3,1
193,1,1
193,71,1
193,14,1
193,49,1
193,55,1
193,75,1
194,1,1
194,14,1
195,31,1
196,19,1
197,48,1
197,2,1
197,3,1
197,1,1
197,71,1
197,14,1
197,49,1
197,55,1
197,75,1
198,40,1
199,9,1
200,42,1
201,44,1
202,40,1
203,38,1
204,42,1
205,38,1
205,1,1
206,42,1
207,42,1
208,42,1
209,54,1
210,40,1
211,43,1
212,20,1
213,19,1
213,1,1
213,39,1
214,2,1
215,43,1
216,1,1
217,9,1
218,19,1
218,1,1
218,39,1
